district,district_census_code,state,rural_BMIM,rural_BMIW,rural_BPM,rural_BPW,rural_SUGM,rural_SUGW,rural_BMI_show,rural_BP_show,rural_SUG_show,rural_ALL_show
Adilabad,532,Telangana,6.2,11.6,9.1,11.1,4.9,4.5,no,no,no,no
Agra,146,Uttar Pradesh,15.1,12.2,7.1000000000000005,4.2,5.1,2.8,no,no,no,no
Ahmadabad,474,Gujarat,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Ahmednagar,522,Maharashtra,15.1,13.9,13.9,6.699999999999998,2.7,4.4,yes,no,no,no
Aizawl,283,Mizoram,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Ajmer,119,Rajasthan,13.9,11.6,13.3,5.3,7.4,5.4,no,no,yes,no
Akola,501,Maharashtra,7.7,14.3,11.6,9.9,9.3,4.3,no,no,no,no
Alappuzha,598,Kerala,26.8,36.8,10.0,6.9,13.6,8.3,yes,no,yes,no
Aligarh,143,Uttar Pradesh,6.4,13.6,6.3,4.6,13.1,4.5,no,no,no,no
Alirajpur,465,Madhya Pradesh,6.0,5.1,12.7,9.0,7.4,4.2,no,yes,no,no
Allahabad,175,Uttar Pradesh,6.9,14.4,7.6,6.4,3.3,3.3,no,no,no,no
Almora,64,Uttarakhand,13.8,7.7,21.9,9.0,6.5,4.6,no,yes,no,no
Alwar,104,Rajasthan,18.1,10.9,13.4,7.7,8.4,2.4,no,no,no,no
Ambala,70,Haryana,7.1,13.3,8.0,8.1,5.7,3.6,no,no,no,no
Ambedkar Nagar,178,Uttar Pradesh,10.7,11.7,8.399999999999999,8.1,4.9,2.8,no,no,no,no
Amravati,503,Maharashtra,17.6,11.7,16.0,10.5,10.2,5.5,no,yes,yes,no
Amreli,480,Gujarat,22.5,25.7,12.4,8.5,9.2,6.0,yes,yes,yes,yes
Amritsar,49,Punjab,33.0,30.1,16.3,15.0,7.2,6.2,yes,yes,yes,yes
Anand,482,Gujarat,9.6,12.5,24.7,13.7,8.7,5.2,no,yes,yes,no
Anantapur,553,Andhra Pradesh,20.2,20.1,19.3,10.8,10.6,5.6,yes,yes,yes,yes
Anantnag,14,Jammu & Kashmir,11.3,29.8,10.6,15.5,3.6,6.6,no,no,no,no
Anjaw,260,Arunachal Pradesh,24.7,18.4,37.6,22.3,9.5,4.6,yes,yes,no,no
Anugul,384,Odisha,10.7,13.1,23.0,12.0,9.7,5.3,no,yes,yes,no
Anuppur,461,Madhya Pradesh,3.4,4.6,10.4,8.4,7.2,4.8,no,no,no,no
Araria,209,Bihar,6.1,4.6,6.1,6.9,6.6,4.1,no,no,no,no
Ariyalur,616,Tamil Nadu,29.0,20.8,24.4,7.3,10.5,7.4,yes,no,yes,no
Arwal,240,Bihar,6.1,7.8,3.9,5.4,7.6,4.1,no,no,no,no
Ashoknagar,459,Madhya Pradesh,6.6,8.3,5.5,5.2,3.1,1.6,no,no,no,no
Auraiya,162,Uttar Pradesh,5.9,9.4,6.7,4.1,0.0,2.4,no,no,no,no
Aurangabad,235,Bihar,21.6,10.7,4.2,7.899999999999999,20.2,5.2,no,no,yes,no
Aurangabad,515,Maharashtra,8.7,15.8,10.0,9.8,4.8,2.8,no,no,no,no
Azamgarh,191,Uttar Pradesh,13.9,13.7,8.899999999999997,7.399999999999999,5.3,4.5,yes,no,no,no
Badgam,2,Jammu & Kashmir,13.7,29.1,16.6,9.7,3.4,6.9,yes,yes,no,no
Bagalkot,556,Karnataka,8.9,12.8,11.8,8.2,3.4,3.4,no,no,no,no
Bageshwar,63,Uttarakhand,16.7,9.7,16.7,5.9,12.5,4.3,no,no,no,no
Baghpat,139,Uttar Pradesh,12.1,23.1,9.8,4.9,10.0,7.2,no,no,yes,no
Bahraich,180,Uttar Pradesh,11.9,9.1,14.2,13.7,15.3,7.8,no,yes,yes,no
Baksa,324,Assam,7.6,15.1,24.9,18.6,7.4,5.5,no,yes,yes,no
Balaghat,457,Madhya Pradesh,1.7,5.4,7.8,7.8,5.5,4.5,no,no,no,no
Balangir,393,Odisha,9.5,9.0,11.1,8.6,10.1,6.6,no,no,yes,no
Baleshwar,377,Odisha,19.2,12.2,16.4,9.2,15.4,8.3,no,yes,yes,no
Ballia,193,Uttar Pradesh,11.9,16.8,12.8,10.4,8.0,5.2,no,yes,yes,no
Balrampur,182,Uttar Pradesh,9.1,9.6,21.9,14.3,10.0,7.7,no,yes,yes,no
Banaskantha,469,Gujarat,13.2,9.0,10.4,3.5,6.9,3.1,no,no,no,no
Banda,170,Uttar Pradesh,5.2,6.4,3.9,3.8,1.0,1.0,no,no,no,no
Bandipore,9,Jammu & Kashmir,19.3,32.9,8.7,9.7,4.1,4.3,yes,no,no,no
Bangalore,572,Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Bangalore Rural,583,Karnataka,20.9,20.0,24.5,6.6,4.9,6.4,yes,no,no,no
Banka,225,Bihar,12.4,6.0,5.7,3.7,6.6,3.7,no,no,no,no
Bankura,339,West Bengal,9.3,7.9,7.7,7.8,9.4,7.3,no,no,yes,no
Banswara,125,Rajasthan,7.0,7.0,5.1000000000000005,3.4,8.1,4.4,no,no,no,no
Bara Banki,176,Uttar Pradesh,8.3,11.0,16.099999999999998,8.5,6.1,3.6,no,yes,no,no
Baramula,8,Jammu & Kashmir,18.6,21.1,12.2,8.5,3.7,2.9,yes,no,no,no
Baran,128,Rajasthan,5.3,7.6,6.700000000000001,5.4,7.4,4.4,no,no,no,no
Barddhaman,335,West Bengal,6.4,11.8,10.6,11.9,9.1,7.3,no,no,yes,no
Bareilly,150,Uttar Pradesh,6.0,15.7,6.1000000000000005,7.299999999999999,13.0,7.7,no,no,yes,no
Bargarh,370,Odisha,16.6,13.0,15.8,7.0,9.5,5.2,yes,no,yes,no
Barmer,115,Rajasthan,14.2,9.8,12.1,6.5,4.1,2.8,no,no,no,no
Barnala,54,Punjab,20.0,31.8,34.9,24.6,13.0,5.6,yes,yes,yes,yes
Barpeta,303,Assam,14.4,11.5,30.4,21.4,6.3,5.2,no,yes,no,no
Barwani,441,Madhya Pradesh,4.0,6.7,10.5,11.8,5.0,4.5,no,no,no,no
Bastar,414,Chhattisgarh,2.2,2.4,9.0,9.7,9.0,5.9,no,no,yes,no
Basti,185,Uttar Pradesh,9.4,14.6,18.9,12.1,11.6,12.8,no,yes,yes,no
Bathinda,46,Punjab,24.7,23.1,12.4,12.2,4.5,4.9,yes,yes,no,no
Baudh,391,Odisha,13.6,8.4,9.7,7.2,12.5,5.1,no,no,yes,no
Begusarai,222,Bihar,15.9,8.4,10.4,4.3,5.5,2.4,no,no,no,no
Belgaum,555,Karnataka,22.8,18.6,9.4,9.500000000000002,4.7,4.9,yes,no,no,no
Bellary,565,Karnataka,10.3,14.5,6.199999999999998,6.0,6.6,3.1,no,no,no,no
Betul,447,Madhya Pradesh,3.8,10.3,5.8,4.699999999999998,5.8,2.3,no,no,no,no
Bhadrak,378,Odisha,21.8,11.6,7.9,6.2,15.5,11.3,no,no,yes,no
Bhagalpur,224,Bihar,8.5,8.4,4.7,3.1,3.2,3.9,no,no,no,no
Bhandara,506,Maharashtra,6.9,10.9,10.6,8.8,8.7,4.3,no,no,no,no
Bharatpur,105,Rajasthan,11.5,12.1,9.999999999999998,9.7,4.2,3.0,no,no,no,no
Bharuch,488,Gujarat,12.6,16.3,17.3,11.6,5.1,8.8,yes,yes,no,no
Bhavnagar,481,Gujarat,21.6,23.9,17.9,7.6,7.6,6.8,yes,no,yes,no
Bhilwara,122,Rajasthan,8.2,12.3,5.4,3.7,6.3,3.1,no,no,no,no
Bhind,420,Madhya Pradesh,9.8,11.1,2.6,4.4,2.1,1.2,no,no,no,no
Bhiwani,81,Haryana,21.3,19.1,17.7,8.200000000000001,4.6,4.2,yes,no,no,no
Bhojpur,231,Bihar,8.9,12.3,12.3,6.1,6.8,4.1,no,no,no,no
Bhopal,444,Madhya Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Bid,523,Maharashtra,12.2,15.9,6.1,7.399999999999999,1.0,4.6,no,no,no,no
Bidar,558,Karnataka,12.6,12.2,20.7,10.9,5.3,3.3,no,yes,no,no
Bijapur,417,Chhattisgarh,7.3,1.7,13.0,5.8,4.4,4.0,no,no,no,no
Bijapur,557,Karnataka,13.9,13.4,24.2,10.7,5.0,3.6,yes,yes,no,no
Bijnor,134,Uttar Pradesh,4.9,17.1,5.8,5.2,10.5,5.4,no,no,yes,no
Bikaner,101,Rajasthan,10.2,10.7,10.6,6.0,6.4,3.3,no,no,no,no
Bilaspur,30,Himachal Pradesh,18.2,27.7,23.3,12.5,5.1,6.8,yes,yes,no,no
Bilaspur,406,Chhattisgarh,5.8,7.0,5.2,5.4,0.7,3.3,no,no,no,no
Birbhum,334,West Bengal,5.2,8.8,6.6000000000000005,9.9,12.0,4.8,no,no,no,no
Bishnupur,275,Manipur,20.5,23.4,17.400000000000002,9.8,13.7,5.3,yes,yes,yes,yes
Bokaro,355,Jharkhand,3.5,4.9,9.1,6.6,10.9,4.7,no,no,no,no
Bongaigaon,319,Assam,19.1,12.3,26.9,17.8,5.6,4.1,no,yes,no,no
Budaun,149,Uttar Pradesh,4.0,9.3,3.5,3.7,5.8,3.6,no,no,no,no
Bulandshahr,142,Uttar Pradesh,10.1,15.1,7.6,4.9,5.5,3.0,no,no,no,no
Buldhana,500,Maharashtra,4.3,14.3,10.8,9.1,3.4,3.2,no,no,no,no
Bundi,121,Rajasthan,7.2,7.3,12.9,3.6,8.6,3.9,no,no,no,no
Burhanpur,467,Madhya Pradesh,7.4,10.5,14.4,8.4,2.9,4.6,no,yes,no,no
Buxar,232,Bihar,8.6,14.7,11.0,6.9,6.1,3.6,no,no,no,no
Cachar,316,Assam,7.3,6.0,13.6,10.9,0.8,1.9,no,yes,no,no
Central,95,NCT Delhi,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Chamarajanagar,578,Karnataka,17.9,15.1,14.7,11.4,9.9,4.0,yes,yes,no,no
Chamba,23,Himachal Pradesh,15.8,18.6,14.8,6.699999999999998,7.9,3.1,yes,no,no,no
Chamoli,57,Uttarakhand,8.2,12.9,12.6,6.6000000000000005,2.4,3.8,no,no,no,no
Champawat,65,Uttarakhand,23.2,13.6,23.5,10.6,13.0,8.5,yes,yes,yes,yes
Champhai,284,Mizoram,15.1,13.0,16.7,9.8,9.2,7.1,yes,yes,yes,yes
Chandauli,196,Uttar Pradesh,9.5,12.0,10.7,7.199999999999998,7.2,3.0,no,no,no,no
Chandel,280,Manipur,15.4,23.8,11.6,11.1,9.0,5.7,yes,no,yes,no
Chandigarh,55,Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Chandrapur,509,Maharashtra,12.4,5.6,5.300000000000002,6.2,8.0,4.1,no,no,no,no
Changlang,253,Arunachal Pradesh,11.1,12.1,15.500000000000002,12.2,15.3,7.3,no,yes,yes,no
Chatra,347,Jharkhand,9.9,4.5,16.0,6.799999999999999,6.9,3.4,no,no,no,no
Chennai,603,Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Chhatarpur,425,Madhya Pradesh,6.4,6.5,9.5,7.1,12.2,4.9,no,no,no,no
Chhindwara,455,Madhya Pradesh,8.9,11.3,4.2,6.2,9.3,4.1,no,no,no,no
Chikkaballapura,582,Karnataka,16.8,15.8,21.0,7.6,5.0,5.8,yes,no,no,no
Chikmagalur,570,Karnataka,13.8,20.5,9.6,12.5,10.4,8.6,yes,no,yes,no
Chirang,320,Assam,13.7,15.3,28.7,23.3,7.3,5.5,yes,yes,yes,yes
Chitradurga,566,Karnataka,18.8,10.2,11.5,8.1,7.5,3.9,no,no,no,no
Chitrakoot,171,Uttar Pradesh,1.1,6.0,3.7,3.0000000000000004,5.5,2.1,no,no,no,no
Chittaurgarh,126,Rajasthan,6.1,13.9,7.4,8.1,5.4,2.9,no,no,no,no
Chittoor,554,Andhra Pradesh,25.6,22.2,11.6,6.6,9.1,8.1,yes,no,yes,no
Churachandpur,274,Manipur,17.1,22.0,19.4,7.8,18.8,11.0,yes,no,yes,no
Churu,102,Rajasthan,7.1,11.9,12.8,7.2,2.9,2.4,no,no,no,no
Coimbatore,632,Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Cuddalore,617,Tamil Nadu,19.3,23.6,8.700000000000001,5.0,10.1,3.9,yes,no,no,no
Cuttack,381,Odisha,25.3,23.3,5.2,9.0,15.2,11.1,yes,no,yes,no
Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,11.5,6.9,6.8,5.4,11.1,4.0,no,no,no,no
Dakshin Bastar Dantewada,416,Chhattisgarh,2.8,3.1,9.4,9.8,7.0,5.2,no,no,yes,no
Dakshin Dinajpur,331,West Bengal,8.8,10.5,7.5,12.7,7.3,5.5,no,no,yes,no
Dakshina Kannada,575,Karnataka,17.7,21.9,16.5,12.9,7.3,5.8,yes,yes,yes,yes
Daman,495,Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Damoh,428,Madhya Pradesh,2.6,9.1,4.5,7.800000000000002,3.6,7.5,no,no,no,no
Darbhanga,215,Bihar,14.0,9.8,9.9,5.5,2.7,4.4,no,no,no,no
Darjiling,327,West Bengal,18.6,18.4,20.1,13.0,10.4,3.1,yes,yes,no,no
Darrang,325,Assam,5.3,9.1,12.3,11.6,9.1,5.2,no,no,yes,no
Datia,422,Madhya Pradesh,2.6,7.2,3.9,3.8,3.8,3.2,no,no,no,no
Dausa,109,Rajasthan,6.1,8.2,13.2,6.9,6.7,2.7,no,no,no,no
Davanagere,567,Karnataka,15.2,21.7,14.999999999999998,12.9,11.9,5.2,yes,yes,yes,yes
Debagarh,373,Odisha,8.1,9.5,22.6,12.5,8.5,5.5,no,yes,yes,no
Dehradun,60,Uttarakhand,18.4,24.4,15.500000000000002,8.5,3.4,6.3,yes,yes,no,no
Deoghar,350,Jharkhand,6.5,4.3,11.0,6.9,12.0,7.4,no,no,yes,no
Deoria,190,Uttar Pradesh,12.0,16.1,19.6,9.4,6.4,7.1,no,yes,no,no
Dewas,437,Madhya Pradesh,14.4,10.5,19.1,8.7,4.8,3.5,no,yes,no,no
Dhalai,291,Tripura,13.8,12.3,7.9,7.5,9.0,5.1,no,no,yes,no
Dhamtari,412,Chhattisgarh,6.5,7.3,7.4,7.8,10.9,5.2,no,no,yes,no
Dhanbad,354,Jharkhand,7.3,6.8,7.899999999999999,6.300000000000002,7.9,6.7,no,no,yes,no
Dhar,438,Madhya Pradesh,10.0,8.9,13.6,9.3,4.9,4.5,no,yes,no,no
Dharmapuri,630,Tamil Nadu,22.4,23.3,13.0,8.4,7.7,7.5,yes,yes,yes,yes
Dharwad,562,Karnataka,18.2,18.4,18.6,10.8,8.1,5.1,yes,yes,yes,yes
Dhaulpur,106,Rajasthan,9.2,6.3,5.7,4.0,6.2,2.2,no,no,no,no
Dhemaji,308,Assam,11.3,11.9,19.2,16.900000000000002,9.8,6.0,no,yes,yes,no
Dhenkanal,383,Odisha,11.9,15.0,11.5,12.1,16.2,8.6,no,no,yes,no
Dhubri,301,Assam,15.1,6.1,8.5,12.500000000000002,3.8,2.7,no,no,no,no
Dhule,498,Maharashtra,16.7,9.3,19.4,9.0,8.2,5.1,no,yes,yes,no
Dibang Valley,257,Arunachal Pradesh,17.5,25.8,26.4,21.3,5.3,7.7,yes,yes,no,no
Dibrugarh,310,Assam,13.4,10.6,24.5,15.7,7.3,4.0,no,yes,no,no
Dima Hasao,315,Assam,4.8,9.3,19.2,13.6,7.0,4.4,no,yes,no,no
Dimapur,265,Nagaland,16.1,22.0,20.8,14.3,6.9,7.6,yes,yes,no,no
Dindigul,612,Tamil Nadu,26.0,22.0,14.2,8.3,3.9,5.3,yes,no,no,no
Dindori,453,Madhya Pradesh,5.0,4.0,9.7,9.9,7.5,5.5,no,no,yes,no
Diu,494,Daman & Diu,35.0,28.4,11.2,6.500000000000001,5.9,6.5,yes,no,no,no
Doda,16,Jammu & Kashmir,13.8,17.0,12.4,12.000000000000002,3.0,3.2,yes,yes,no,no
Dohad,485,Gujarat,7.4,4.4,13.900000000000002,11.5,1.9,6.5,no,yes,no,no
Dumka,362,Jharkhand,8.5,2.5,9.9,9.1,7.7,4.5,no,no,no,no
Dungarpur,124,Rajasthan,6.0,4.7,11.2,5.1,5.4,4.4,no,no,no,no
Durg,409,Chhattisgarh,7.3,11.1,7.1000000000000005,6.3,10.2,7.8,no,no,yes,no
East,93,NCT Delhi,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
East District,244,Sikkim,27.7,26.5,26.7,18.8,5.4,6.7,yes,yes,no,no
East Garo Hills,294,Meghalaya,7.1,9.1,11.6,15.4,2.6,3.8,no,no,no,no
East Godavari,545,Andhra Pradesh,24.7,32.2,24.0,12.3,10.4,4.6,yes,yes,no,no
East Kameng,247,Arunachal Pradesh,15.1,15.0,21.6,15.7,10.7,4.1,yes,yes,no,no
East Khasi Hills,298,Meghalaya,0.0,11.1,7.1,8.2,9.7,5.7,no,no,yes,no
East Siang,251,Arunachal Pradesh,32.2,22.8,36.6,16.5,10.4,10.1,yes,yes,yes,yes
Ernakulam,595,Kerala,41.3,35.3,12.8,8.4,13.0,10.1,yes,yes,yes,yes
Erode,610,Tamil Nadu,14.1,25.1,22.6,10.0,14.5,5.2,yes,yes,yes,yes
Etah,201,Uttar Pradesh,8.7,14.3,9.6,4.6,3.5,1.7,no,no,no,no
Etawah,161,Uttar Pradesh,8.1,15.7,15.8,8.3,5.5,3.6,no,no,no,no
Faizabad,177,Uttar Pradesh,10.1,13.4,9.4,7.1000000000000005,2.5,3.4,no,no,no,no
Faridabad,88,Haryana,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Faridkot,45,Punjab,11.8,26.6,29.9,8.9,0.8,6.3,no,yes,no,no
Farrukhabad,159,Uttar Pradesh,10.8,11.9,10.6,8.4,5.8,3.7,no,no,no,no
Fatehabad,78,Haryana,17.7,13.5,14.2,14.4,5.4,3.0,yes,yes,no,no
Fatehgarh Sahib,40,Punjab,39.0,40.0,25.700000000000006,14.8,10.3,5.8,yes,yes,yes,yes
Fatehpur,172,Uttar Pradesh,8.0,9.4,1.7000000000000002,5.2,4.5,2.2,no,no,no,no
Firozabad,147,Uttar Pradesh,9.8,10.1,6.0,5.2,6.3,3.9,no,no,no,no
Firozpur,43,Punjab,25.7,25.8,27.3,14.4,13.3,8.2,yes,yes,yes,yes
Gadag,561,Karnataka,16.8,8.7,18.0,8.399999999999999,4.5,1.9,no,no,no,no
Gadchiroli,508,Maharashtra,10.7,6.3,9.1,7.0,4.1,3.9,no,no,no,no
Gajapati,389,Odisha,12.9,8.1,11.1,4.9,5.3,5.7,no,no,no,no
Ganderbal,11,Jammu & Kashmir,15.3,31.1,18.2,12.8,4.9,5.6,yes,yes,no,no
Gandhinagar,473,Gujarat,17.4,15.1,14.9,10.9,9.7,4.9,yes,yes,no,no
Ganganagar,99,Rajasthan,24.0,19.0,12.1,8.4,4.2,6.3,yes,no,no,no
Ganjam,388,Odisha,10.0,18.2,5.6,5.9,9.9,7.6,no,no,yes,no
Garhwa,346,Jharkhand,9.1,7.3,11.6,5.3,2.5,2.5,no,no,no,no
Garhwal,61,Uttarakhand,12.4,16.6,24.1,7.6,5.9,7.9,yes,no,no,no
Gautam Buddha Nagar,141,Uttar Pradesh,18.8,25.5,9.4,5.9,6.1,3.5,yes,no,no,no
Gaya,236,Bihar,17.1,9.6,11.3,7.6,4.8,3.8,no,no,no,no
Ghaziabad,140,Uttar Pradesh,14.6,25.0,4.0,6.4,7.9,5.3,yes,no,yes,no
Ghazipur,195,Uttar Pradesh,16.6,11.8,12.4,7.300000000000002,4.6,4.1,no,no,no,no
Giridih,349,Jharkhand,4.2,5.2,12.0,5.9,3.9,3.5,no,no,no,no
Goalpara,302,Assam,12.3,9.6,11.5,14.6,5.0,2.7,no,no,no,no
Godda,351,Jharkhand,7.6,6.0,21.3,8.9,12.2,4.8,no,yes,no,no
Golaghat,313,Assam,11.8,11.8,19.5,18.200000000000006,14.7,5.9,no,yes,yes,no
Gonda,183,Uttar Pradesh,5.5,12.1,22.4,14.8,10.8,9.5,no,yes,yes,no
Gondiya,507,Maharashtra,7.1,4.8,15.4,12.6,9.0,4.5,no,yes,no,no
Gopalganj,217,Bihar,20.0,16.4,12.4,7.7,3.2,6.1,yes,no,no,no
Gorakhpur,188,Uttar Pradesh,18.5,15.1,13.8,9.8,9.4,6.3,yes,yes,yes,yes
Gulbarga,579,Karnataka,19.7,10.3,25.3,8.4,6.7,3.6,no,yes,no,no
Gumla,366,Jharkhand,7.9,5.4,6.200000000000001,7.899999999999999,5.1,3.5,no,no,no,no
Guna,458,Madhya Pradesh,4.3,6.8,7.9,6.4,1.9,1.8,no,no,no,no
Guntur,548,Andhra Pradesh,32.8,38.8,10.4,11.0,19.6,7.7,yes,no,yes,no
Gurdaspur,35,Punjab,16.8,28.8,13.9,12.3,2.8,6.4,yes,yes,no,no
Gurgaon,86,Haryana,22.0,20.1,23.1,9.8,8.8,6.7,yes,yes,yes,yes
Gwalior,421,Madhya Pradesh,5.7,6.7,8.6,4.1,4.6,2.2,no,no,no,no
