district,district_census_code,state,rural_BMIM,rural_BMIW,rural_BPM,rural_BPW,rural_SUGM,rural_SUGW,rural_BMI_show,rural_BP_show,rural_SUG_show,rural_ALL_show
Pakur,353,Jharkhand,6.6,5.4,10.6,7.3,3.6,3.7,no,no,no,no
Palakkad,593,Kerala,23.1,30.4,16.599999999999998,6.0,12.6,7.3,yes,no,yes,no
Palamu,358,Jharkhand,9.8,8.5,7.6,7.5,5.3,3.4,no,no,no,no
Pali,118,Rajasthan,10.7,11.2,9.9,5.5,1.0,3.3,no,no,no,no
Palwal,89,Haryana,20.8,11.8,20.6,9.7,6.5,4.4,no,yes,no,no
Panchkula,69,Haryana,18.2,21.0,15.500000000000002,10.6,7.7,5.2,yes,yes,yes,yes
Panchmahal,484,Gujarat,10.4,7.0,11.0,10.0,6.1,5.1,no,no,no,no
Panipat,75,Haryana,26.9,24.9,5.3,5.0,6.6,4.4,yes,no,no,no
Panna,426,Madhya Pradesh,3.6,9.0,13.0,8.9,12.5,7.0,no,yes,yes,no
Papumpare,248,Arunachal Pradesh,27.6,21.8,16.6,17.1,7.5,3.4,yes,yes,no,no
Parbhani,513,Maharashtra,10.8,9.0,11.7,7.1,9.3,3.8,no,no,no,no
Paschim Medinipur,344,West Bengal,15.3,14.7,11.5,6.7,11.3,6.5,yes,no,yes,no
Pashchim Champaran,203,Bihar,10.2,9.8,9.7,7.6,5.9,3.7,no,no,no,no
Pashchimi Singhbhum,368,Jharkhand,3.5,5.3,15.1,12.1,7.4,4.1,no,yes,no,no
Patan,470,Gujarat,10.5,11.2,8.0,9.6,7.7,5.5,no,no,yes,no
Pathanamthitta,599,Kerala,36.4,39.1,15.999999999999998,8.6,7.8,11.2,yes,yes,yes,yes
Patiala,48,Punjab,37.2,34.5,26.9,15.9,8.0,6.1,yes,yes,yes,yes
Patna,230,Bihar,9.2,12.3,9.3,6.1000000000000005,6.0,3.4,no,no,no,no
Perambalur,615,Tamil Nadu,18.9,24.9,20.3,6.0,11.5,8.0,yes,no,yes,no
Peren,271,Nagaland,7.3,15.7,21.3,14.9,4.6,4.9,no,yes,no,no
Phek,266,Nagaland,9.6,12.4,20.0,20.8,8.6,5.1,no,yes,yes,no
Pilibhit,151,Uttar Pradesh,5.6,13.1,6.300000000000002,10.0,16.5,8.3,no,no,yes,no
Pithoragarh,62,Uttarakhand,14.6,14.9,15.6,8.0,12.6,6.6,yes,no,yes,no
Porbandar,478,Gujarat,13.4,19.5,7.699999999999998,6.2,5.0,4.2,yes,no,no,no
Prakasam,549,Andhra Pradesh,34.8,29.3,15.5,7.7,5.5,7.0,yes,no,no,no
Pratapgarh,131,Rajasthan,5.9,5.9,5.5,5.5,4.6,3.5,no,no,no,no
Pratapgarh,173,Uttar Pradesh,11.2,10.9,3.6,5.6000000000000005,6.8,2.7,no,no,no,no
Puducherry,635,Puducherry,32.0,34.1,9.3,6.500000000000001,2.9,8.0,yes,no,no,no
Pudukkottai,621,Tamil Nadu,24.2,20.6,12.5,6.0,14.3,6.0,yes,no,yes,no
Pulwama,12,Jammu & Kashmir,22.1,33.7,6.700000000000001,11.9,5.0,3.3,yes,no,no,no
Punch,5,Jammu & Kashmir,15.5,19.9,12.4,10.0,3.2,3.0,yes,yes,no,no
Pune,521,Maharashtra,17.4,21.3,13.4,9.4,1.6,4.5,yes,yes,no,no
Purba Champaran,204,Bihar,6.2,9.6,7.6,7.6,10.7,6.2,no,no,yes,no
Purba Medinipur,345,West Bengal,18.3,19.0,7.300000000000002,6.6,12.8,8.2,yes,no,yes,no
Purbi Singhbhum,357,Jharkhand,8.7,6.5,8.399999999999999,8.4,6.5,4.6,no,no,no,no
Puri,387,Odisha,24.6,24.1,8.3,9.1,13.2,9.7,yes,no,yes,no
Purnia,211,Bihar,4.4,5.8,6.5,6.2,3.9,3.9,no,no,no,no
Puruliya,340,West Bengal,5.4,3.6,9.5,8.899999999999997,5.0,4.2,no,no,no,no
Rae Bareli,158,Uttar Pradesh,3.4,9.4,8.299999999999999,7.300000000000002,3.4,2.6,no,no,no,no
Raichur,559,Karnataka,27.4,13.0,18.6,6.4,7.5,4.2,yes,no,no,no
Raigarh,403,Chhattisgarh,6.8,9.8,16.6,14.3,15.2,9.4,no,yes,yes,no
Raigarh,520,Maharashtra,12.0,18.2,21.9,9.1,11.0,4.3,no,yes,no,no
Raipur,410,Chhattisgarh,12.1,11.5,11.3,7.1,11.3,4.6,no,no,no,no
Raisen,446,Madhya Pradesh,5.3,8.3,5.9,5.8,6.9,2.0,no,no,no,no
Rajgarh,442,Madhya Pradesh,6.2,4.8,1.6,4.4,2.7,2.9,no,no,no,no
Rajkot,476,Gujarat,23.6,30.3,5.0,6.4,7.4,6.7,yes,no,yes,no
Rajnandgaon,408,Chhattisgarh,5.9,5.2,3.4,4.7,3.8,3.5,no,no,no,no
Rajouri,6,Jammu & Kashmir,14.4,19.4,17.900000000000006,11.5,3.1,3.3,yes,yes,no,no
Rajsamand,123,Rajasthan,5.9,11.1,7.8,6.1,2.7,4.0,no,no,no,no
Ramanagara,584,Karnataka,32.9,19.9,15.1,8.4,5.1,4.7,yes,yes,no,no
Ramanathapuram,626,Tamil Nadu,26.6,27.6,22.2,7.5,6.3,4.8,yes,no,no,no
Ramban,17,Jammu & Kashmir,16.2,16.6,14.8,13.0,0.6,2.9,yes,yes,no,no
Ramgarh,361,Jharkhand,9.2,7.0,7.699999999999998,5.8,6.5,3.8,no,no,no,no
Rampur,136,Uttar Pradesh,9.4,12.3,5.7,6.9,12.5,7.1,no,no,yes,no
Ranchi,364,Jharkhand,4.2,7.1,14.9,10.1,3.4,6.1,no,yes,no,no
Rangareddy,537,Telangana,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Ratlam,434,Madhya Pradesh,2.9,8.7,18.2,8.7,7.4,4.7,no,yes,no,no
Ratnagiri,528,Maharashtra,25.5,13.7,27.4,9.9,9.0,5.8,yes,yes,yes,yes
Rayagada,396,Odisha,7.0,6.4,7.1,5.7,11.7,6.6,no,no,yes,no
Reasi,20,Jammu & Kashmir,12.2,15.6,13.4,6.9,3.8,3.3,no,no,no,no
Rewa,430,Madhya Pradesh,13.0,12.8,10.1,5.2,4.6,3.9,no,no,no,no
Rewari,85,Haryana,16.1,19.8,29.4,9.4,13.7,5.9,yes,yes,yes,yes
Ribhoi,297,Meghalaya,3.0,10.0,10.8,7.5,3.8,3.4,no,no,no,no
Rohtak,82,Haryana,11.1,19.2,18.9,8.9,6.6,3.3,no,yes,no,no
Rohtas,234,Bihar,11.6,13.5,10.5,7.6,4.1,5.2,no,no,no,no
Rudraprayag,58,Uttarakhand,12.1,11.4,14.5,6.199999999999998,2.3,3.8,no,no,no,no
Rup Nagar,51,Punjab,12.7,42.0,11.2,11.2,5.5,7.3,yes,no,no,no
Sabarkantha,472,Gujarat,13.7,11.0,14.099999999999998,7.6,5.6,3.6,no,no,no,no
Sagar,427,Madhya Pradesh,5.9,10.8,10.7,11.0,8.5,8.7,no,no,yes,no
Saharanpur,132,Uttar Pradesh,14.2,13.6,5.1,6.300000000000002,6.2,6.7,yes,no,no,no
Saharsa,214,Bihar,7.0,6.7,9.8,4.2,3.5,3.9,no,no,no,no
Sahibganj,352,Jharkhand,7.8,6.9,13.7,6.9,8.0,4.0,no,no,no,no
Sahibzada Ajit Singh Nagar,52,Punjab,21.2,35.8,11.8,10.8,13.0,5.3,yes,no,yes,no
Sahid Bhagat Singh Nagar,39,Punjab,27.5,36.0,15.6,11.7,2.3,5.5,yes,yes,no,no
Saiha,288,Mizoram,6.8,6.8,10.1,7.5,7.6,3.2,no,no,no,no
Salem,608,Tamil Nadu,30.6,23.8,11.7,7.9,10.6,6.9,yes,no,yes,no
Samastipur,221,Bihar,5.0,7.5,10.9,5.2,11.7,2.3,no,no,no,no
Samba,22,Jammu & Kashmir,22.7,34.6,22.6,13.6,6.2,6.8,yes,yes,no,no
Sambalpur,372,Odisha,10.8,9.3,9.2,8.7,11.7,5.1,no,no,yes,no
Sangli,531,Maharashtra,36.0,26.0,15.0,7.899999999999999,11.2,5.4,yes,no,yes,no
Sangrur,53,Punjab,24.0,28.8,41.2,16.599999999999998,4.1,4.4,yes,yes,no,no
Sant Kabir Nagar,186,Uttar Pradesh,16.3,12.8,14.2,12.2,8.2,8.1,no,yes,yes,no
Sant Ravidas Nagar,198,Uttar Pradesh,12.8,13.3,8.4,5.5,3.5,2.3,yes,no,no,no
Saraikela Kharsawan,369,Jharkhand,9.6,5.9,11.9,11.4,10.0,6.4,no,no,yes,no
Saran,219,Bihar,15.8,17.1,12.4,6.799999999999999,6.2,5.1,yes,no,no,no
Satara,527,Maharashtra,27.8,16.5,13.8,10.0,2.7,3.6,yes,yes,no,no
Satna,429,Madhya Pradesh,7.6,11.4,12.8,6.4,4.1,5.4,no,no,no,no
Sawai Madhopur,108,Rajasthan,11.3,9.7,11.0,6.300000000000002,3.9,3.3,no,no,no,no
Sehore,445,Madhya Pradesh,11.6,11.7,8.2,6.3,4.3,1.7,no,no,no,no
Senapati,272,Manipur,18.8,18.9,21.0,9.3,6.0,6.3,yes,yes,no,no
Seoni,456,Madhya Pradesh,12.8,7.2,8.5,8.7,6.2,5.7,no,no,no,no
Serchhip,285,Mizoram,11.1,10.0,13.6,7.9,8.0,10.3,no,no,yes,no
Shahdol,460,Madhya Pradesh,6.9,8.8,9.2,9.8,5.0,4.7,no,no,no,no
Shahjahanpur,152,Uttar Pradesh,4.1,14.2,7.5,5.1000000000000005,10.0,6.0,no,no,yes,no
Shajapur,436,Madhya Pradesh,9.9,9.4,6.6,4.9,3.5,3.2,no,no,no,no
Sheikhpura,228,Bihar,6.6,9.3,11.8,3.9,5.6,3.1,no,no,no,no
Sheohar,205,Bihar,13.2,9.4,3.4,6.5,6.7,6.2,no,no,no,no
Sheopur,418,Madhya Pradesh,5.9,5.8,11.4,5.6000000000000005,5.8,3.6,no,no,no,no
Shimla,33,Himachal Pradesh,27.1,31.4,17.4,8.3,8.2,6.7,yes,no,yes,no
Shimoga,568,Karnataka,7.2,17.3,15.4,12.5,5.3,8.4,no,yes,no,no
Shivpuri,423,Madhya Pradesh,4.5,5.2,4.5,4.5,5.9,3.9,no,no,no,no
Shrawasti,181,Uttar Pradesh,7.1,9.2,14.8,12.2,11.2,7.1,no,yes,yes,no
Shupiyan,13,Jammu & Kashmir,15.6,30.8,12.000000000000002,12.2,4.9,7.3,yes,no,no,no
Siddharthnagar,184,Uttar Pradesh,4.8,12.3,11.0,12.3,15.2,9.4,no,no,yes,no
Sidhi,462,Madhya Pradesh,7.6,9.7,7.9,6.7,8.0,4.5,no,no,no,no
Sikar,111,Rajasthan,11.3,14.8,10.5,7.1000000000000005,5.5,4.0,no,no,no,no
Simdega,367,Jharkhand,1.3,2.8,14.9,8.7,13.4,3.8,no,yes,no,no
Sindhudurg,529,Maharashtra,18.0,16.2,30.9,13.2,12.7,8.4,yes,yes,yes,yes
Singrauli,463,Madhya Pradesh,9.0,6.2,7.8,5.699999999999998,4.8,4.3,no,no,no,no
Sirmaur,32,Himachal Pradesh,21.5,23.0,23.7,12.3,4.7,5.6,yes,yes,no,no
Sirohi,117,Rajasthan,6.9,7.1,9.7,4.5,1.9,2.2,no,no,no,no
Sirsa,79,Haryana,18.8,19.0,17.400000000000002,9.7,1.5,3.5,yes,yes,no,no
Sitamarhi,206,Bihar,6.4,7.7,9.1,7.4,5.6,3.9,no,no,no,no
Sitapur,154,Uttar Pradesh,4.9,7.2,7.3,7.5,2.4,4.2,no,no,no,no
Sivaganga,622,Tamil Nadu,15.7,22.0,13.5,3.1,8.9,6.5,yes,no,yes,no
Sivasagar,311,Assam,10.5,12.1,21.5,19.0,6.9,7.7,no,yes,no,no
Siwan,218,Bihar,12.8,16.0,9.6,7.300000000000002,11.0,4.6,yes,no,no,no
Solan,31,Himachal Pradesh,19.3,31.5,21.1,9.8,8.9,5.5,yes,yes,yes,yes
Solapur,526,Maharashtra,33.3,16.3,15.1,7.3,4.4,5.6,yes,no,no,no
Sonbhadra,200,Uttar Pradesh,3.4,8.2,10.1,6.3,4.2,3.7,no,no,no,no
Sonipat,76,Haryana,29.1,32.8,8.1,5.1000000000000005,2.2,4.7,yes,no,no,no
Sonitpur,306,Assam,14.5,11.1,21.3,13.9,6.8,5.6,no,yes,no,no
South,98,NCT Delhi,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
South Andaman,640,Andaman & Nicobar Islands,31.4,25.6,37.7,8.1,10.1,8.8,yes,no,yes,no
South District,243,Sikkim,0.0,20.1,0.0,13.4,0.0,4.5,no,no,no,no
South Garo Hills,295,Meghalaya,20.8,13.8,11.7,8.4,6.9,4.6,yes,no,no,no
South Goa,586,Goa,27.9,30.1,16.5,8.2,12.8,10.6,yes,no,yes,no
South Tripura,290,Tripura,15.8,12.7,14.4,9.4,10.4,8.5,no,yes,yes,no
South Twenty Four Parganas,343,West Bengal,9.2,18.5,9.5,6.999999999999999,13.3,7.8,no,no,yes,no
South West,97,NCT Delhi,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Sri Potti Sriramulu Nellore,550,Andhra Pradesh,28.2,30.2,15.2,10.7,7.3,9.5,yes,yes,yes,yes
Srikakulam,542,Andhra Pradesh,12.4,21.0,13.0,5.9,10.1,7.7,yes,no,yes,no
Srinagar,10,Jammu & Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Subarnapur,392,Odisha,10.8,12.6,4.6,5.1000000000000005,8.4,4.4,no,no,no,no
Sultanpur,179,Uttar Pradesh,12.6,12.3,7.5,7.699999999999998,7.5,3.8,no,no,no,no
Sundargarh,374,Odisha,8.0,7.0,16.3,9.2,8.2,5.7,no,yes,yes,no
Supaul,208,Bihar,8.8,5.6,6.1,5.9,5.2,4.3,no,no,no,no
Surat,492,Gujarat,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Surendranagar,475,Gujarat,11.0,16.3,10.500000000000002,7.9,3.9,4.6,no,no,no,no
Surguja,401,Chhattisgarh,4.5,4.8,17.700000000000006,19.1,7.0,3.3,no,yes,no,no
Tamenglong,273,Manipur,8.3,11.6,14.3,11.3,5.9,4.4,no,yes,no,no
Tapi,493,Gujarat,5.2,7.5,12.5,8.6,8.7,5.7,no,yes,yes,no
Tarn Taran,50,Punjab,27.6,29.9,27.1,15.8,8.3,7.8,yes,yes,yes,yes
Tawang,245,Arunachal Pradesh,29.1,28.0,38.5,25.5,2.9,3.4,yes,yes,no,no
Tehri Garhwal,59,Uttarakhand,6.3,4.5,4.2,4.2,4.0,4.6,no,no,no,no
Thane,517,Maharashtra,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Thanjavur,620,Tamil Nadu,29.0,27.1,15.0,7.0,15.3,7.6,yes,no,yes,no
The Dangs,489,Gujarat,3.4,2.3,10.5,3.3000000000000003,4.5,2.6,no,no,no,no
The Nilgiris,611,Tamil Nadu,21.6,20.7,16.0,15.099999999999998,17.3,7.6,yes,yes,yes,yes
Theni,624,Tamil Nadu,21.3,26.0,21.700000000000006,10.0,1.6,10.2,yes,yes,no,no
Thiruvallur,602,Tamil Nadu,30.0,28.1,8.7,5.3,6.6,4.2,yes,no,no,no
Thiruvananthapuram,601,Kerala,23.0,37.6,17.3,5.8,5.5,5.5,yes,no,no,no
Thiruvarur,619,Tamil Nadu,19.9,28.0,13.0,9.3,9.5,6.1,yes,yes,yes,yes
Thoothukkudi,627,Tamil Nadu,20.4,30.3,20.2,5.3,5.8,6.0,yes,no,no,no
Thoubal,276,Manipur,17.3,22.0,22.4,8.8,5.8,4.8,yes,yes,no,no
Thrissur,594,Kerala,28.4,24.5,10.2,8.200000000000001,1.9,2.8,yes,no,no,no
Tikamgarh,424,Madhya Pradesh,6.7,6.1,12.6,7.399999999999999,7.5,5.7,no,no,yes,no
Tinsukia,309,Assam,5.3,7.7,23.2,16.0,6.8,2.5,no,yes,no,no
Tirap,254,Arunachal Pradesh,8.5,4.4,10.8,5.9,9.3,3.8,no,no,no,no
Tiruchirappalli,614,Tamil Nadu,20.2,22.8,8.399999999999999,6.9,4.8,7.5,yes,no,no,no
Tirunelveli,628,Tamil Nadu,27.5,26.0,12.8,9.4,7.3,5.7,yes,yes,yes,yes
Tiruppur,633,Tamil Nadu,32.4,27.8,21.1,7.5,6.0,5.4,yes,no,no,no
Tiruvannamalai,606,Tamil Nadu,29.8,26.1,7.9,6.6,12.0,5.4,yes,no,yes,no
Tonk,120,Rajasthan,9.1,7.4,12.1,2.6,10.4,2.8,no,no,no,no
Tuensang,267,Nagaland,7.0,4.8,17.9,12.0,15.5,7.5,no,yes,yes,no
Tumkur,571,Karnataka,16.8,17.3,15.5,8.700000000000001,6.6,5.6,yes,yes,no,no
Udaipur,130,Rajasthan,8.3,5.0,9.8,5.200000000000001,7.9,2.4,no,no,no,no
Udalguri,326,Assam,12.3,9.4,29.5,16.099999999999998,7.5,3.3,no,yes,no,no
Udham Singh Nagar,67,Uttarakhand,12.8,20.1,17.9,12.1,11.8,6.7,yes,yes,yes,yes
Udhampur,19,Jammu & Kashmir,12.6,16.4,5.5,7.0,1.5,3.0,yes,no,no,no
Udupi,569,Karnataka,17.7,19.0,20.9,10.8,7.8,5.4,yes,yes,yes,yes
Ujjain,435,Madhya Pradesh,6.6,10.2,9.8,8.4,6.1,6.9,no,no,no,no
Ukhrul,279,Manipur,4.5,10.5,13.0,11.2,3.7,4.6,no,yes,no,no
Umaria,431,Madhya Pradesh,1.6,6.2,8.0,8.100000000000001,1.6,4.2,no,no,no,no
Una,29,Himachal Pradesh,24.3,37.3,24.4,13.4,7.6,8.7,yes,yes,yes,yes
Unnao,156,Uttar Pradesh,6.6,11.0,6.300000000000002,5.1,4.6,2.7,no,no,no,no
Upper Siang,252,Arunachal Pradesh,35.1,19.2,17.4,18.4,13.4,6.7,yes,yes,yes,yes
Upper Subansiri,249,Arunachal Pradesh,14.4,14.1,31.1,20.3,7.6,5.1,yes,yes,yes,yes
Uttar Bastar Kanker,413,Chhattisgarh,10.7,7.1,13.7,7.7,12.7,6.3,no,no,yes,no
Uttar Dinajpur,330,West Bengal,7.9,8.6,16.4,12.0,6.8,5.1,no,yes,no,no
Uttara Kannada,563,Karnataka,5.0,15.7,17.7,12.3,9.9,5.8,no,yes,yes,no
Uttarkashi,56,Uttarakhand,7.5,10.3,7.0,6.3,10.4,4.3,no,no,no,no
Vadodara,486,Gujarat,12.9,14.1,13.8,11.9,6.1,5.1,yes,yes,no,no
Vaishali,220,Bihar,11.4,12.6,9.7,5.199999999999998,5.4,3.3,no,no,no,no
Valsad,491,Gujarat,17.4,20.1,9.9,11.3,7.6,5.6,yes,no,yes,no
Varanasi,197,Uttar Pradesh,12.2,13.2,5.6,4.8,1.6,3.8,no,no,no,no
Vellore,605,Tamil Nadu,26.1,34.6,6.4,4.6000000000000005,11.6,9.3,yes,no,yes,no
Vidisha,443,Madhya Pradesh,4.6,11.1,6.2,12.2,9.0,7.9,no,no,yes,no
Viluppuram,607,Tamil Nadu,33.4,23.0,14.6,6.1,13.4,5.5,yes,no,yes,no
Virudhunagar,625,Tamil Nadu,15.1,22.9,27.6,7.3,9.9,9.0,yes,no,yes,no
Visakhapatnam,544,Andhra Pradesh,14.8,15.3,14.3,8.7,12.3,4.0,yes,yes,no,no
Vizianagaram,543,Andhra Pradesh,28.0,16.0,19.4,7.8,8.7,6.1,yes,no,yes,no
Warangal,540,Telangana,23.9,18.7,13.6,8.5,7.8,4.9,yes,yes,no,no
Wardha,504,Maharashtra,13.2,11.8,9.3,9.3,1.6,4.3,no,no,no,no
Washim,502,Maharashtra,11.3,8.8,15.8,7.3,7.9,3.4,no,no,no,no
Wayanad,590,Kerala,32.9,23.7,17.599999999999994,9.5,20.4,11.5,yes,yes,yes,yes
West,96,NCT Delhi,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
West District,242,Sikkim,29.3,22.0,24.1,13.6,9.3,7.0,yes,yes,yes,yes
West Garo Hills,293,Meghalaya,12.9,10.4,9.2,12.4,7.6,3.5,no,no,no,no
West Godavari,546,Andhra Pradesh,39.5,36.9,18.7,10.6,6.7,6.1,yes,yes,no,no
West Kameng,246,Arunachal Pradesh,15.1,29.2,31.4,22.8,3.7,3.4,yes,yes,no,no
West Khasi Hills,296,Meghalaya,8.9,7.7,6.200000000000001,7.8,3.3,2.9,no,no,no,no
West Siang,250,Arunachal Pradesh,16.7,19.9,34.3,24.8,5.0,5.0,yes,yes,no,no
West Tripura,289,Tripura,18.4,14.2,19.7,16.1,11.4,7.7,yes,yes,yes,yes
Wokha,264,Nagaland,11.8,8.1,12.7,13.000000000000002,14.7,10.7,no,yes,yes,no
Y.S.R. Cuddapah,551,Andhra Pradesh,32.0,19.6,18.1,6.7,19.0,7.3,yes,no,yes,no
Yadgir,580,Karnataka,9.2,9.3,7.7,4.5,9.2,7.3,no,no,yes,no
Yamunanagar,71,Haryana,19.2,17.9,20.3,10.2,7.6,4.9,yes,yes,no,no
Yanam,634,Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Yavatmal,510,Maharashtra,12.7,10.6,6.2,6.999999999999999,4.3,4.1,no,no,no,no
Zunheboto,263,Nagaland,7.8,16.8,14.5,14.3,4.5,9.6,no,yes,no,no
PoK,0,Jammu & Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
